PLR_ID,value,hour
0,0.1677285961432972,0
10100101,0.0,0
10100102,0.0063293809865395,0
10100103,0.0,0
10100209,0.0358664922570572,0
10100311,0.0147685556352588,0
10100312,0.0400860795814169,0
10200420,0.0327018017637875,0
10200422,0.0348115954259673,0
10200423,0.0116038651419891,0
10200526,0.0,0
10200628,0.0601291193721254,0
10300732,0.1635090088189375,0
10300733,0.0,0
11100101,0.0,0
11200410,0.0548546352166758,0
11200512,0.0548546352166758,0
11200513,0.0348115954259673,0
11300616,0.0147685556352588,0
11300617,0.0242626271150681,0
11300618,0.0421958732435967,0
11300620,0.0801721591628338,0
11300721,0.1255327228997004,0
11300722,0.2573948267859403,0
11300723,0.0358664922570572,0
11300724,0.0,0
11300725,0.1065445799400818,0
11300826,0.1054896831089919,0
11400927,0.0822819528250137,0
11400928,0.0063293809865395,0
11400929,0.1381914848727794,0
11400931,0.0464154605679564,0
11401032,0.0052744841554495,0
11401033,0.025317523946158,0
11401034,0.0105489683108991,0
11401135,0.0052744841554495,0
11401136,0.0179332461285286,0
11401137,0.025317523946158,0
11501238,0.2394615806574117,0
11501341,0.0,0
12100101,0.0263724207772479,0
12100102,0.0,0
12100103,0.0,0
12100204,0.0063293809865395,0
12200309,0.0147685556352588,0
12200515,0.0263724207772479,0
1100101,0.4061352799696189,0
1100102,2.826068610489894,0
1100103,0.4219587324359677,0
1100104,0.3544453352462129,0
1100205,1.8481792480695387,0
1100206,5.23123338537491,0
1100207,1.6319253976961052,0
1100308,1.991645217097768,0
1100309,3.27439976370311,0
1100310,3.2311489936284232,0
1100311,0.5517110426600278,0
1100312,0.5939069159036247,0
1100313,0.7500316469049327,0
1100414,0.1793324612852863,0
1100415,1.1719903793409006,0
1100416,0.8175450440946875,0
1200517,0.3607747162327524,0
1200518,0.2046499852314443,0
1200519,0.1286974133929701,0
1200520,0.3523355415840331,0
1200521,0.0748976750073842,0
1200522,0.4493860500443056,0
1200623,0.5074053757542513,0
1200624,0.6055107810456137,0
1200625,0.2046499852314443,0
1200626,0.2162538503734334,0
1200627,0.0421958732435967,0
1200628,0.7690197898645512,0
1200629,0.4747035739904637,0
1300730,0.0527448415544959,0
1300731,0.0,0
1300732,0.0316469049326975,0
1300733,0.090721127473733,0
1300834,0.4124646609561584,0
1300835,0.3618296130638423,0
1300836,0.7468669564116629,0
1400937,0.0031646904932697,0
1400938,0.0970505084602725,0
1400939,0.0105489683108991,0
1400940,0.0453605637368665,0
1400942,0.1540149373391282,0
1401043,0.0865015401493733,0
