0,1,2,3
13013,2022-02-27 01:20:38.877125,52.501855,13.316879
13391,2022-02-27 01:20:38.877125,52.528143,13.392144
13008,2022-02-27 01:20:38.877125,52.492096,13.451308
13503,2022-02-27 01:20:38.877125,52.521414,13.485667
13022,2022-02-27 01:20:38.877125,52.519586,13.421872
13291,2022-02-27 01:20:38.877125,52.498169,13.436177
13601,2022-02-27 01:20:38.877125,52.531871,13.342972
14575,2022-02-27 01:20:38.877125,52.529268,13.387696
13732,2022-02-27 01:20:38.877125,52.47048,13.441514
13055,2022-02-27 01:20:38.877125,52.470486,13.442489
13204,2022-02-27 01:20:38.877125,52.528398,13.468713
13101,2022-02-27 01:20:38.877125,52.500584,13.366287
13928,2022-02-27 01:20:38.877125,52.51589,13.402768
13679,2022-02-27 01:20:38.877125,52.526211,13.403606
13951,2022-02-27 01:20:38.877125,52.500584,13.366287
14446,2022-02-27 01:20:38.877125,52.484776,13.43105
13659,2022-02-27 01:20:38.877125,52.50655,13.371926
13534,2022-02-27 01:20:38.877125,52.529268,13.387696
14450,2022-02-27 01:20:38.877125,52.501996,13.421192
15114,2022-02-27 01:20:38.877125,52.529278,13.387693
14945,2022-02-27 01:20:38.877125,52.526796,13.411078
13697,2022-02-27 01:20:38.877125,52.501991,13.416296
15022,2022-02-27 01:20:38.877125,52.50681,13.289327
14857,2022-02-27 01:20:38.877125,52.52969,13.45723
15173,2022-02-27 01:20:38.877125,52.528616,13.383575
14804,2022-02-27 01:20:38.877125,52.499648,13.382499
14785,2022-02-27 01:20:38.877125,52.50442,13.434614
15884,2022-02-27 01:20:38.877125,52.528422,13.383131
16019,2022-02-27 01:20:38.877125,52.506713,13.29322
15214,2022-02-27 01:20:38.877125,52.504466,13.434643
16075,2022-02-27 01:20:38.877125,52.515824,13.402785
15320,2022-02-27 01:20:38.877125,52.513688,13.406205
13721,2022-02-27 01:20:38.877125,52.526142,13.403502
15915,2022-02-27 01:20:38.877125,52.515779,13.402832
15343,2022-02-27 01:20:38.877125,52.515824,13.402785
16310,2022-02-27 01:20:38.877125,52.470475,13.442492
14041,2022-02-27 01:20:38.877125,52.524273,13.339583
14353,2022-02-27 01:20:38.877125,52.513001,13.403951
19988,2022-02-27 01:20:38.877125,52.521182,13.309776
13566,2022-02-27 01:20:38.877125,52.510099,13.307273
14029,2022-02-27 01:20:38.877125,52.505689,13.386357
14820,2022-02-27 01:20:38.877125,52.50502,13.439838
15059,2022-02-27 01:20:38.877125,52.503751,13.291298
16024,2022-02-27 01:20:38.877125,52.502507,13.324154
16051,2022-02-27 01:20:38.877125,52.508243,13.332507
