OBJECTID;LAND;BEZ;LOR;STRASSE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
197978;11;3;3071536;Teutoburger Platz;2019;8;23;6;3;9;1;2;0;0;0;0;0;1;0;799185,3849;5830027,242;13,4123;52,53797
197979;11;4;4030931;Breitscheidplatz;2019;8;14;5;2;5;2;0;0;1;0;1;0;0;0;793914,3833;5825527,807;13,33083;52,5005
197980;11;5;5020625;Borkumer Straße;2019;8;16;5;2;5;2;0;0;1;0;0;0;0;0;784452,915;5828671,699;13,19452;52,5337
197981;11;11;11030618;Fennpfuhl West;2019;8;19;5;3;4;6;0;1;0;0;0;0;0;0;803846,9648;5828899,179;13,47979;52,52528
197982;11;4;4030931;Breitscheidplatz;2019;8;17;5;3;6;4;0;1;0;1;0;0;0;0;793910,4477;5826223,901;13,33139;52,50674
197983;11;9;9020501;Oberschöneweide West;2019;8;18;5;3;5;2;0;1;1;0;0;0;0;0;806606,8689;5822047,592;13,51404;52,46233
197984;11;6;6020301;Alt-Lankwitz;2019;8;17;5;3;2;6;0;0;1;0;1;0;0;0;796275,5319;5818274,425;13,35907;52,4342
197985;11;6;6030504;Teltower Damm;2019;8;16;5;3;5;3;0;1;1;0;0;0;0;0;790291,7049;5817165,004;13,27034;52,42747
197986;11;1;1011101;Stülerstraße;2019;8;16;5;3;2;2;0;0;1;0;1;0;0;0;795116,5643;5826507,405;13,34936;52,50863
197987;11;1;1011305;Heine-Viertel West;2019;8;18;5;3;3;2;0;1;1;0;0;0;0;0;799490,22;5826644,834;13,41373;52,50748
197988;11;9;9020502;Oberschöneweide Ost;2019;8;16;5;2;5;2;0;1;1;0;0;0;0;0;807389,932;5821730,017;13,52524;52,45904
197989;11;8;8010405;Hertzbergplatz;2019;8;15;5;3;5;3;0;1;0;0;0;0;0;0;802493,7404;5823233,965;13,45476;52,47525
197990;11;2;2010102;Mehringplatz;2019;8;15;5;3;1;5;0;1;1;0;0;0;0;0;797983,1023;5826068,888;13,39108;52,50314
197991;11;1;1011204;Leipziger Straße;2019;8;15;5;3;2;6;0;1;1;0;0;0;0;0;797968,0824;5826581,411;13,39132;52,50775
197992;11;8;8010301;Reuterkiez;2019;8;14;5;3;0;3;0;0;1;0;0;0;1;0;801101,1948;5824132,292;13,43513;52,48408
197993;11;1;1033202;Humboldthain Süd;2019;8;14;5;3;5;2;0;1;0;0;0;0;1;0;796960,9901;5830140,194;13,3797;52,5402
197994;11;5;5010314;Carl-Schurz-Straße;2019;8;14;5;3;3;6;0;0;1;0;1;0;0;0;784988,2766;5829498,698;13,2031;52,54084
197995;11;2;2040701;Andreasviertel;2019;8;14;5;3;2;6;0;0;1;0;0;0;1;0;800302,8577;5827593,182;13,42653;52,51554
