OBJECTID;LAND;BEZ;LOR;STRASSE;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
204970;11;4;4020313;Königin-Elisabeth-Straße;4200311;2018;9;14;3;2;3;6;0;0;1;0;1;0;0;0;790186,0308;5826052,819;13,27651974;52,50720357
204971;11;11;11010310;Mühlengrund;11100309;2018;9;11;7;3;5;2;0;1;1;0;0;0;0;0;805420,4366;5833323,318;13,50697768;52,56404982
204972;11;7;7030303;Grazer Platz;7300619;2018;9;6;6;3;5;3;1;1;1;0;0;0;0;1;795032,3668;5821873,362;13,34401991;52,46713827
204973;11;6;6030608;Schweizer Viertel;6300632;2018;9;15;3;2;5;3;0;1;0;0;0;0;0;0;791935,5553;5817211,945;13,29448919;52,42701234
204974;11;4;4020311;Reichsstraße;4200310;2018;9;13;3;3;5;2;0;1;1;0;0;0;0;0;789335,2673;5826421,034;13,26433976;52,5109566
204975;11;4;4020311;Reichsstraße;4200310;2018;9;11;7;3;2;6;0;0;1;0;0;0;0;0;789092,8908;5826981,367;13,26126506;52,51610866
204976;11;4;4041137;Flinsberger Platz;4400727;2018;9;13;3;3;1;5;0;1;1;0;0;0;0;0;791401,1211;5824365,251;13,29289564;52,49142696
204977;11;7;7070706;Horstwalder Straße/Paplitzer Straße                                                                 ;7601547;2018;9;13;3;3;2;2;0;1;1;0;0;0;0;0;799496,2767;5812661,233;13,40128901;52,38213465
204978;11;1;1044203;Leopoldplatz;1401049;2018;9;11;7;3;5;2;0;0;1;0;0;0;0;0;795887,205;5831929,475;13,36550762;52,55682021
204979;11;4;4030725;Amtsgerichtsplatz;4300416;2018;9;11;7;2;2;3;0;1;1;0;0;0;0;0;791287,7345;5826062,486;13,29271477;52,50670312
204980;11;2;2040503;Richard-Sorge-Viertel;2400522;2018;9;16;5;3;5;7;0;0;1;0;0;0;0;0;801720,0564;5828640,115;13,44829886;52,52413754
204981;11;10;10010206;Ringkolonnaden;10100209;2018;9;13;3;3;2;6;0;0;1;0;0;0;0;0;809937,939;5831682,464;13,57187979;52,54679271
204982;11;7;7010104;Dennewitzplatz;7100206;2018;9;10;7;3;2;7;0;1;1;0;0;0;0;0;796301,488;5824307,236;13,36481013;52,48826907
204983;11;1;1044203;Leopoldplatz;1401049;2018;9;12;3;3;5;2;0;1;1;0;0;0;0;0;795964,6284;5831980,797;13,36669208;52,55723819
